name,link,age,value
Stephan Lichtsteiner,https://www.transfermarkt.co.uk/stephan-lichtsteiner/profil/spieler/2865,25,£5.85m  
Gelson Fernandes,https://www.transfermarkt.co.uk/gelson-fernandes/profil/spieler/20081,22,£4.95m  
Benjamin Huggel,https://www.transfermarkt.co.uk/benjamin-huggel/profil/spieler/2889,31,£1.35m  
Gökhan Inler,https://www.transfermarkt.co.uk/gokhan-inler/profil/spieler/19041,25,£8.10m  
Philippe Senderos,https://www.transfermarkt.co.uk/philippe-senderos/profil/spieler/4277,24,£4.50m  
Steve von Bergen,https://www.transfermarkt.co.uk/steve-von-bergen/profil/spieler/4793,26,£2.70m  
Valon Behrami,https://www.transfermarkt.co.uk/valon-behrami/profil/spieler/21905,24,£7.20m  
Tranquillo Barnetta,https://www.transfermarkt.co.uk/tranquillo-barnetta/profil/spieler/6645,24,£8.10m  
Sergio Ramos,https://www.transfermarkt.co.uk/sergio-ramos/profil/spieler/25557,23,£27.00m  
Gerard Piqué,https://www.transfermarkt.co.uk/gerard-pique/profil/spieler/18944,22,£9.00m  
Sergio Busquets,https://www.transfermarkt.co.uk/sergio-busquets/profil/spieler/65230,20,£4.50m  
Andrés Iniesta,https://www.transfermarkt.co.uk/andres-iniesta/profil/spieler/7600,25,£37.80m  
David Villa,https://www.transfermarkt.co.uk/david-villa/profil/spieler/7980,27,£37.80m  
Carles Puyol,https://www.transfermarkt.co.uk/carles-puyol/profil/spieler/7594,31,£25.20m  
Joan Capdevila,https://www.transfermarkt.co.uk/joan-capdevila/profil/spieler/7486,31,£11.70m  
Xabi Alonso,https://www.transfermarkt.co.uk/xabi-alonso/profil/spieler/7476,27,£24.30m  
Xavi,https://www.transfermarkt.co.uk/xavi/profil/spieler/7607,29,£39.60m  
Fernando Torres,https://www.transfermarkt.co.uk/fernando-torres/profil/spieler/7767,25,£40.50m  
Siaka Tiéné,https://www.transfermarkt.co.uk/siaka-tiene/profil/spieler/34026,27,£1.35m  
Guy Demel,https://www.transfermarkt.co.uk/guy-demel/profil/spieler/1368,28,£5.40m  
Didier Zokora,https://www.transfermarkt.co.uk/didier-zokora/profil/spieler/13389,28,£7.65m  
Salomon Kalou,https://www.transfermarkt.co.uk/salomon-kalou/profil/spieler/7971,23,£13.50m  
